6769
8122,9878
8347,9653
8817,9183
16,7986,9998
76,8136,9788
141,8250,9609
187,8324,9489
230,7911,9859
298,7769,9933
370,7719,9911
402,8200,9398
556,7837,9607
575,7821,9604
581,7546,9873
584,7944,9472
599,7498,9903
657,7645,9698
706,7949,9345
774,7514,9712
842,7811,9347
902,7545,9553
955,8205,8840
1057,8125,8818
1137,7365,9498
1160,7210,9630
1167,7383,9450
1286,6976,9738
1327,7710,8963
1330,7735,8935
1398,7028,9574
1491,7466,9043
1513,7675,8812
1528,7284,9188
1567,7729,8704
1581,7320,9099
1586,8033,8381
1619,7625,8756
1637,7515,8848
1643,7759,8598
1647,7093,9260
1659,8036,8305
1727,7139,9134
1764,6965,9271
1766,7172,9062
1770,7517,8713
1875,7374,8751
1895,6940,9165
1918,7915,8167
1926,6514,9560
2039,6790,9171
2189,6478,9333
2208,7044,8748
2234,6559,9207
2239,7372,8389
2269,6615,9116
2372,7029,8599
2595,6405,9000
2652,7091,8257
2679,6682,8639
2748,6346,8906
2779,7158,8063
2842,6643,8515
2905,6155,8940
2963,7159,7878
3080,5888,9032
3121,7359,7520
3182,6359,8459
3210,5626,9164
3215,6096,8689
3308,6801,7891
3310,7200,7490
3350,6158,8492
3356,6136,8508
3462,6210,8328
3489,7205,7306
3560,6214,8226
3585,5910,8505
3598,6037,8365
3619,5621,8760
3636,6742,7622
3713,5814,8473
3899,5514,8587
3906,6070,8023
3945,6270,7785
3955,7004,7041
4009,5521,8470
4117,6380,7503
4139,6858,7003
4145,5337,8518
4324,6661,6978
4479,5148,8373
4584,6011,7396
4652,5217,8131
4667,5185,8148
4931,5492,7577
5158,5590,7046
5630,5922,6447
5711,5897,6392
3,348,7724,9925
7,646,7994,9353
8,562,7501,9929
22,48,7992,9938
30,201,7814,9955
36,361,7624,9979
47,119,8025,9809
50,351,7772,9827
61,229,7820,9890
62,509,7662,9767
77,1514,7074,9335
111,438,7543,9908
120,1096,7202,9582
152,503,7488,9857
191,376,7533,9900
239,623,7497,9641
245,287,7541,9927
253,2008,6402,9337
256,460,7579,9705
258,2103,6426,9213
264,2145,6308,9283
269,1439,6817,9475
276,762,7068,9894
284,318,7584,9814
293,1571,6536,9600
324,386,7486,9804
331,699,7309,9661
338,664,7418,9580
399,989,7064,9548
406,443,7468,9683
423,559,7334,9684
441,590,7290,9679
445,776,7060,9719
455,751,6987,9807
484,668,7447,9401
495,721,7261,9523
587,1830,6200,9383
592,970,6883,9555
602,1729,6416,9253
608,823,6935,9634
691,1475,6414,9420
707,904,6937,9452
801,821,6932,9446
803,2187,6207,8803
806,1386,6680,9128
809,959,7014,9218
843,1741,6394,9022
846,1710,6364,9080
850,1661,6617,8872
881,1735,6412,8972
885,906,6613,9596
900,961,7154,8985
917,1610,6167,9306
929,965,6785,9321
986,2786,6268,7960
1027,1719,6287,8967
1031,1299,6609,9061
