7,8,484
1299,9807,9894
1419,9767,9814
1531,9596,9873
1643,9548,9809
1660,9661,9679
1980,9446,9574
2100,9345,9555
2152,9398,9450
2446,9207,9347
2601,9062,9337
2940,8961,9099
2983,9000,9017
3075,8940,8985
3096,8930,8974
3208,8829,8963
3349,8803,8848
3585,8492,8923
3598,8689,8713
3722,8543,8735
3766,8577,8657
3804,8536,8660
3815,8587,8598
4117,8365,8518
4225,8305,8470
4348,8324,8328
4497,6980,9523
4528,8229,8243
4569,8205,8226
4691,7096,9213
4990,7948,8062
5018,7957,8025
5130,7837,8033
5240,7737,8023
5318,7804,7878
5331,7675,7994
5431,5661,9908
5492,7046,8462
5512,7719,7769
5518,7044,8438
5563,5784,9653
5622,5889,9489
5626,7634,7740
5730,7541,7729
5767,7284,7949
5786,5813,9401
5801,7577,7622
5942,7503,7555
6037,7466,7497
6112,7374,7514
6136,7396,7468
6155,7359,7486
6425,7210,7365
6613,7172,7215
50,4410,7068,9472
111,5000,7261,8628
119,5503,5590,9788
245,4570,8063,8122
253,3182,8748,8817
264,2388,9165,9183
318,2372,8381,9929
331,4896,5914,9859
370,6053,6412,8165
376,2905,8531,9188
399,3083,7520,9998
423,5941,6346,8290
438,4070,8242,8250
460,2807,8473,9260
575,668,9857,9900
587,1787,9128,9498
599,5557,5812,9032
608,3179,7515,9698
707,5514,7154,7625
801,4118,7891,8190
809,6049,6609,7533
881,2906,7579,9634
900,4994,7321,7785
902,3713,6680,9705
906,4469,7047,8578
929,6682,6694,6695
955,1398,9043,9604
1115,2963,7820,9102
1146,6405,6445,7004
1167,4886,7457,7490
1190,2208,8731,8871
1286,2649,7759,9306
1287,3215,7418,9080
1397,1895,8425,9283
1528,3334,6785,9353
1634,4241,7391,7734
1637,1942,7488,9933
1678,6394,6414,6514
1726,5665,6261,7348
1731,3936,7202,8131
1797,4162,7306,7735
1830,2568,6918,9684
1875,3143,7205,8777
1911,2569,8125,8395
1929,6070,6327,6674
1937,2225,8323,8515
2037,3457,5897,9609
2039,5823,6047,7091
2103,6287,6302,6308
2253,3264,6380,9103
2266,3947,6188,8599
2360,3778,6158,8704
2454,3787,5118,9641
2520,3292,7543,7645
2765,3080,5884,9271
2781,3414,6416,8389
2813,3899,6790,7498
2830,3185,7074,7911
2836,3955,5148,9061
