7,22,6470
2096,9925,9979
2765,9306,9929
2934,9347,9719
2956,9489,9555
3489,8704,9807
3945,8872,9183
4036,8848,9116
4142,8756,9102
4225,7948,9827
4241,8829,8930
4243,8817,8940
4348,8812,8840
5300,8305,8395
5318,8242,8440
5431,8131,8438
5512,8165,8323
5576,6615,9809
5590,8167,8243
5736,8125,8139
6049,7915,8036
6308,7814,7878
6426,7625,7949
6939,7200,7861
7004,7334,7662
7068,7348,7584
7096,7447,7457
3,7210,7290,7497
48,7073,7234,7645
120,5495,7634,8751
264,5910,6425,9401
324,3122,9271,9283
351,4249,8063,9337
402,2970,8967,9661
406,3264,8427,9903
423,2189,9450,9938
445,1763,9859,9933
455,6414,7359,7772
460,6191,7545,7804
559,4479,8470,8492
562,5711,7770,7957
590,3943,8296,9171
608,6287,6302,8803
646,3906,8713,8735
691,1994,9548,9767
707,5158,7811,8324
762,3334,8381,9523
821,7041,7047,7091
846,5635,7383,8136
850,6617,6987,7546
881,2906,9000,9213
885,4181,8347,8587
929,6965,6967,7139
1146,4644,7304,8906
1167,3178,8575,9080
1286,5629,7093,7992
1299,3940,6883,9878
1398,6081,6978,7543
1419,3134,7735,9712
1451,2269,9062,9218
1531,5659,7320,7490
1586,5942,6447,8025
1637,4508,7911,7944
1643,4448,6268,9641
1660,5280,5460,9600
1698,2362,8257,9683
1709,1830,8657,9804
1735,1752,9253,9260
1797,3143,7486,9574
1825,4586,7046,8543
1895,2972,8373,8760
1915,2152,8598,9335
1926,5130,5337,9607
2100,5563,7028,7309
2145,3820,6037,9998
2265,3947,7640,8148
2372,2748,8365,8515
2388,5240,6817,7555
2398,3275,8122,8205
2465,2873,8200,8462
2470,2923,6680,9927
2591,3096,6402,9911
2627,6033,6364,6976
2655,5493,5626,8226
2720,2899,6785,9596
2905,3414,6047,9634
3080,3215,7719,7986
3083,4652,6536,7729
3182,4528,5630,8660
3204,4848,6445,7503
3213,3858,5897,9032
3226,3669,7284,7821
3308,4383,6935,7374
3336,3352,6327,8985
3457,5663,5665,7215
3459,3791,5622,9128
3585,3835,6167,8413
3619,4999,5914,7468
3722,4793,4886,8599
3962,4385,5148,8505
4061,4660,5813,7466
4162,4163,4740,8935
4557,5439,5445,6559
8,1873,5492,7306,7321
16,823,4145,7159,9857
30,1528,5523,6188,8731
36,3310,4486,6100,8068
47,1386,4947,5730,9890
50,1727,5013,6392,8818
61,2341,3802,6214,9582
62,1678,4634,6180,9446
76,843,4751,6977,9353
77,1731,5503,6158,8531
111,3147,4497,5223,9022
119,902,4362,6938,9679
141,803,6932,7060,7064
152,1875,2284,8628,9061
187,986,4118,7737,8972
191,4039,4272,4990,8508
201,441,4423,7972,8963
229,2813,6200,6346,6412
230,5161,5185,5217,6207
239,1330,3210,7769,9452
245,1476,4659,7391,8229
253,751,4378,8290,8328
256,2685,5362,6643,7054
258,1571,5812,6858,7501
269,2584,3955,7517,7675
276,2513,4783,5095,9333
284,2037,2486,7488,9705
287,1057,6609,6682,7365
293,1397,2842,8425,9043
298,348,6261,7202,7891
318,1068,2940,8540,9134
331,776,4009,7785,9099
338,1607,2187,7960,9908
361,900,1137,9788,9814
370,961,2449,8536,9684
376,3081,4268,4803,9472
386,1822,3713,7907,8172
399,1428,3804,7205,9164
438,721,5219,7372,8250
443,1491,4070,7418,8578
484,2282,2530,7074,9630
495,1514,2825,8389,8777
503,1937,2524,8459,8577
509,1940,2807,7579,9165
556,801,4408,7261,8974
575,1966,2836,7839,8784
581,809,1911,8961,9738
584,1610,5129,6918,7759
587,2008,3692,6790,8923
592,3495,5086,5673,7154
599,699,4690,6514,9498
602,1719,4011,6651,9017
623,3293,4469,5621,7994
657,2595,2750,6394,9604
664,1269,2454,8033,9580
668,2939,5521,5858,7014
706,2249,5458,5750,7837
774,2401,4433,4994,9398
806,2786,3410,5125,9873
842,1941,5118,6359,7740
904,3350,3888,4731,9127
906,3047,3893,4254,9900
917,1811,3239,7515,8518
955,1710,2779,7003,9553
959,4324,4951,5496,6270
965,1113,4260,6053,9609
970,1764,4245,5814,9207
989,2609,5922,6234,6246
1027,1539,4264,5610,9560
1031,2660,3812,7044,7453
1038,1782,5764,6674,6742
1096,1327,5547,6210,7820
1115,1661,3398,5871,9955
1120,3636,4133,6416,6695
1160,2520,3435,7029,7856
1170,1766,5661,5889,7514
1190,2208,4570,5842,8190
1203,3132,5542,6011,6112
1223,1908,4691,6155,8023
1256,3029,3508,5518,8689
1287,2781,3643,6769,7520
1325,4584,4689,5514,5888
1426,3208,5331,5334,6701
1439,3185,3349,6405,7622
1454,1672,5000,6478,7396
1475,1651,3088,7724,8062
1513,2065,3183,6136,9103
1567,3588,5081,5823,5941
1581,3295,3720,4931,8473
1619,2225,3929,5801,8426
1634,2234,4492,5906,7734
1647,2588,3679,4388,9698
1659,2461,4569,4672,8639
1690,1913,4117,5092,9188
1692,2644,4364,5767,7533
1726,2652,3936,4815,8871
1729,2910,3440,6380,7541
1741,3815,4410,4640,7394
1770,2368,3018,6096,8748
1787,2830,3590,3899,9894
1810,2568,3652,4550,9420
1860,3121,3146,6694,7179
1870,2419,3333,6801,7577
1918,2335,5018,5038,7691
1929,3560,3787,5784,6940
1942,3520,3932,4896,7710
1980,2983,3343,6070,7624
2039,2467,2835,5338,9321
2103,3125,3592,3797,9383
2237,3607,4919,5489,5748
2239,4139,4165,4285,7172
2253,3292,4560,5557,6338
2266,3274,3915,5884,6661
2299,2451,2649,4948,9653
2360,2963,4136,5043,7498
2446,2981,3462,3766,9345
2452,3075,3934,5926,6613
2569,3441,4115,4938,6937
2601,3778,3974,4667,6980
2647,2878,2965,4035,9475
2679,3309,3356,5498,7158
3179,3598,4208,5229,5786
3670,4209,4222,4224,5675
