2520,9979
6246,8848,8906
7215,8323,8462
7348,7691,8961
351,4938,9213,9498
823,6346,7960,8871
906,4948,8243,9903
955,6037,7374,9634
1513,6268,6769,9450
1787,3213,9420,9580
1908,6081,7584,8427
2189,5812,7159,8840
2362,3275,9103,9260
2398,6414,6680,8508
2451,5523,7645,8381
2461,5460,6470,9609
2807,7029,7068,7096
2910,5439,7304,8347
3047,4181,6965,9807
3080,3720,7488,9712
3081,4886,7320,8713
3182,4388,7770,8660
3310,5086,5906,9698
3398,5503,7359,7740
3410,5621,7468,7501
3669,5495,6980,7856
3934,5043,5219,9804
4497,4951,5801,8751
4783,5542,5941,7734
5000,5337,5842,7821
3,1692,5576,7396,9333
7,2388,6214,6359,9032
8,3146,5784,5897,9165
16,1731,3815,8505,9933
22,3083,4896,6392,9607
30,3088,3122,7972,9788
36,1287,3940,8829,9908
47,3787,3802,7891,8473
48,2836,4136,8440,8540
50,1190,5748,8373,8639
61,3293,4061,7202,9383
62,3333,6047,6643,7915
76,1571,4803,8205,9345
77,1929,5736,6987,9271
111,2873,6180,6261,8575
119,809,4751,8974,9347
120,2524,4550,7210,9596
141,3440,4145,7490,8784
152,2152,5557,7541,8598
187,2465,4586,7158,9604
191,2647,2939,8777,9446
201,4364,4731,6380,8324
229,4793,5767,6207,7004
230,1752,3778,9022,9218
239,1619,7003,7517,7622
245,3292,5331,6967,8165
253,2934,4243,6615,9955
256,4035,4260,5730,9719
258,3607,3713,7662,8760
264,3804,5081,5884,8967
269,2878,4740,7675,8438
276,3295,3592,7735,9102
284,1203,5858,7014,9641
287,4225,4660,6661,8167
293,1610,5013,8395,8689
298,455,7044,7625,8578
318,4009,5673,6694,7306
324,1330,5118,8148,9080
331,495,6033,7804,9337
338,2842,5675,6011,9134
348,2750,4272,7514,9116
361,590,7334,7729,7986
370,3226,5889,6210,8305
376,1581,5092,8139,8812
386,1895,5489,6977,9253
399,1398,4222,8122,9859
402,2249,2452,8972,9925
406,3183,3692,7555,9164
423,2649,5095,7234,8599
438,1870,4528,7811,9353
441,2335,5711,7054,8459
443,2963,3820,7453,9321
445,4423,5445,6167,7520
460,762,6302,8226,8250
484,721,6200,7533,9062
503,3121,4264,6234,9878
509,2940,4469,7957,8125
556,1643,4165,8036,9600
559,3096,3274,8131,8940
562,2825,4142,7073,9398
575,1873,3441,8200,9911
581,2627,3598,8023,9171
584,1647,1913,9927,9929
587,850,5514,7577,9472
592,3791,4508,7041,8068
599,2530,5300,7028,8543
602,2660,2781,8190,9767
608,3204,5492,6785,7911
623,904,6096,7447,8930
646,3352,5888,6935,7179
657,774,5622,7047,9900
664,2786,3590,8229,8731
668,1031,3893,8518,9890
691,3125,5814,6308,8062
699,2096,4385,8328,8492
706,1068,4947,7944,9335
707,3619,4560,6701,8413
751,3457,4919,6447,8426
776,2513,4667,7457,8587
801,3178,4285,7200,8536
803,843,3356,9475,9523
806,3643,4433,6155,8963
821,2454,3936,8033,8756
842,3812,5280,5318,8748
846,2652,3797,7498,9207
881,1937,5630,6817,8735
885,1719,5635,7372,8389
900,1810,3947,7486,9857
902,3722,4324,7060,7992
917,3350,4659,6559,8515
929,2830,6053,6327,7861
959,1727,5665,7284,8365
961,3075,5229,5750,8985
965,1426,6112,6191,9306
970,2299,4689,7785,8257
986,2595,3652,7949,8818
989,1299,6070,6938,8704
