8,6514,9979,9998
2842,7091,9164,9903
229,2835,7907,8531,9498
256,2187,8492,8985,9080
284,1190,7957,9679,9890
575,657,8578,9452,9738
599,5906,6210,6426,9859
602,1810,7729,9032,9827
608,3459,6978,8381,9574
691,3722,7041,7986,9560
821,4550,5563,8543,9523
842,3440,6478,8426,9814
1256,1782,7622,8731,9609
1439,1651,8290,8803,8817
1908,2956,6613,7645,9878
1929,4118,4433,8972,9548
1966,2652,5492,9171,9719
2096,3264,6987,7073,9580
2225,3081,4783,9000,9911
2372,3182,5661,8438,9347
2446,3797,6674,6967,9116
2451,4243,5941,7348,9017
2647,3349,6167,7735,9102
3414,4009,4896,7074,9607
3,961,4448,7290,7514,8784
7,1637,4731,5888,7634,9103
16,3350,4254,4919,7772,8689
22,3215,4740,5784,7515,7724
30,587,5750,6617,7948,8068
36,1895,1913,7044,8324,9788
47,2595,3239,6883,7579,8657
48,2601,3766,6100,7320,9165
50,3179,4815,5498,7466,7992
61,258,2584,7814,8930,9353
62,2786,4139,4848,8122,9043
76,1926,2249,6405,9061,9283
77,2039,2940,6268,8226,9450
111,1475,4886,6790,7139,8599
119,3210,4528,5280,7468,8395
120,706,3274,7785,8540,8575
141,1419,1607,7710,8190,9933
152,455,4162,7096,7734,9401
187,559,3679,7284,8328,8963
191,3122,5489,5493,7014,7691
201,2878,3940,5767,7501,8713
230,1698,3134,6977,7541,9420
239,2923,4570,5926,6470,8872
245,3293,3713,5736,6308,9705
253,1619,3962,6392,6965,9809
264,2813,5130,5542,5621,9630
269,3670,4208,6338,7068,7447
276,806,3029,7453,8165,9271
287,361,5610,7154,7359,8229
293,917,4951,6976,7891,7972
298,3310,4260,5161,7675,8296
318,1068,1980,7625,8205,9804
324,1567,3121,7365,7662,8961
331,399,1870,8131,8462,9807
338,1692,3178,4667,9472,9653
348,3096,3352,5635,7309,9260
351,3598,4652,4660,6402,9337
370,843,4036,7205,7640,8906
376,503,5518,5576,8250,8777
386,1286,4586,5318,7486,9938
402,2152,2234,5331,9183,9698
406,562,4492,7179,7543,8818
423,2939,4557,4938,6270,9873
438,1915,4931,5086,8125,8505
441,460,4408,6937,8167,8587
443,929,6081,6445,7383,7719
