7,8515,9979,9998
3088,9553,9555,9804
6817,8324,8328,8531
16,7468,7957,7960,8599
50,5813,7029,9548,9560
823,2299,9498,9523,9857
1692,5630,7205,8473,9000
1860,6053,7154,8062,8871
1895,7453,7457,7466,7729
2454,5711,7520,8148,8167
2779,5858,6643,8122,8598
2786,5889,6695,7645,8985
2970,3414,7624,8540,9452
4264,4272,5518,8972,8974
30,239,7334,7515,8131,8751
36,1269,4039,7915,9321,9420
152,4408,5665,6615,6701,8459
258,406,7046,7759,8136,8395
276,3293,5926,6047,7396,9062
284,751,5823,6801,9134,9207
287,1822,3122,7675,9306,9788
331,3410,4652,6694,7306,9607
351,2452,3936,8200,8305,8756
370,955,3398,7724,9653,9900
376,423,5523,7735,8760,9183
402,843,7028,7044,7074,9609
584,801,6918,7497,7811,8389
590,3292,4222,5300,9213,9383
599,699,3080,8657,9253,9712
657,2282,5675,6883,7772,8731
706,3435,4133,6980,7348,9398
707,1115,2878,7785,9604,9911
806,3343,5888,6426,7372,8165
885,3333,6070,6096,7374,8242
900,1571,6180,7383,7972,7994
961,4528,5337,5498,7447,8229
965,4660,5922,5942,6188,8323
989,2652,6445,6447,7041,8426
1057,3334,5095,5496,7891,9127
1113,2981,4324,4586,9335,9661
1325,2588,4550,6977,8068,8492
1398,2266,4362,6987,7634,9353
1454,1660,1994,7821,9116,9955
1476,1513,3943,6338,8803,9927
1491,2037,3607,7533,7691,9641
1528,4410,4947,6261,6392,8462
1610,2249,4691,5118,8518,9814
1651,1727,6682,6742,7488,7710
1659,4260,4793,5897,6978,8413
1661,1937,3143,6965,8575,9719
1672,4557,5038,5542,6268,8923
1719,3858,4448,6234,6613,9128
1726,3802,4672,5331,6785,9684
1752,2530,3915,7200,7320,9283
1942,3029,4689,6246,7159,8935
2008,2595,3440,6935,8205,8817
2284,4659,5185,5460,7091,7321
2341,3179,5229,5493,6158,9600
2372,3350,3940,7234,7284,7820
2451,3274,4245,4433,7770,9827
2486,3945,4990,5125,6514,8940
2520,2963,3619,5941,7054,9903
2934,5748,5750,5764,5767,6037
3075,3210,3489,7202,7210,7814
3275,3692,5219,5547,5563,8704
3309,3520,4285,5334,6680,8872
3598,4118,5148,5590,5884,7662
3670,3906,4224,6270,6416,7514
3,1531,2939,3147,6207,8840,9333
8,581,1908,5914,7073,7179,9337
22,443,1586,6081,7856,7949,8063
47,141,3146,5621,6967,7365,8713
48,776,4209,4560,5223,7290,9894
61,1439,1980,3239,7304,8347,9630
62,191,2720,6167,6976,7861,8023
76,2388,2398,4919,5362,7261,9596
77,201,2103,5906,7003,7309,9401
111,1763,1918,2189,8373,8543,9103
119,348,1782,3804,6402,9738,9807
120,587,1940,2835,8440,8628,9450
187,1286,3787,5158,5521,8025,8036
229,2781,3215,4070,5458,7215,9032
230,850,3669,4751,4803,7992,9705
245,668,1764,4994,7486,7625,9218
253,1203,3462,4142,6394,8250,8296
256,438,1643,4479,7517,8033,9634
264,3352,3929,4165,4208,7577,8505
269,2465,3636,4388,4886,7769,8587
293,1875,2813,3588,7501,7503,8427
298,361,3295,4036,6327,8777,8906
318,646,902,3778,8257,8290,9809
324,2750,4181,4268,4931,5673,9873
338,1451,2983,3722,6049,7579,9878
386,1137,2910,3047,6769,8784,8967
399,1731,2923,2940,7555,7640,8812
441,484,1327,3585,8139,8578,9446
445,2419,2513,5663,6559,6661,7740
455,1256,2679,4249,7543,7907,7911
460,803,4225,4243,4951,8470,8848
495,1419,1830,5240,5659,7498,9859
503,1287,1870,2601,7047,9345,9347
509,1397,1698,3720,7737,7878,9061
556,2253,3018,4938,5629,6346,9260
559,592,821,4378,8425,8536,8689
562,1068,2524,2649,7004,9022,9171
575,1027,1678,3713,6100,9017,9890
602,623,906,4667,6617,8818,9767
608,1581,2765,5092,5489,6536,9929
664,846,2368,2461,7068,8660,9933
691,3226,4348,4569,5635,6359,7172
721,1299,2825,3125,5439,9102,9489
762,842,2647,4508,6155,8125,8961
774,1428,2265,3121,7490,7734,9188
809,1426,1647,3766,7541,8172,8639
881,1926,3185,3934,4162,8748,9164
904,1741,2234,2873,5086,9580,9582
917,3441,4254,4634,4644,7014,7096
929,3081,3083,5000,5730,6191,7986
959,2842,3310,5557,5576,6210,7546
970,1330,2956,3213,6651,7837,9043
986,1766,3134,4145,5910,6380,9679
1031,1619,2655,4497,7158,7418,7622
1038,1941,2609,4241,5842,7948,8381
1096,2905,2972,4486,5280,5786,9475
1120,2039,3815,4139,6011,6932,7944
