30,3208,9979,9998
1607,5219,8062,9062,9383
1672,6359,7769,8200,9333
2419,3592,7814,9630,9878
4272,5884,6514,7915,8748
4550,6940,6965,6967,7911
8,809,7004,7972,8413,9127
61,1727,2388,9523,9807,9827
152,3962,4492,7348,7907,9472
264,2835,3292,7622,9582,9738
269,4886,5334,5557,8347,8940
455,3441,5300,8033,8036,8068
599,1027,6643,7172,8704,9188
699,3352,4225,6742,9032,9283
801,2765,5518,6346,8505,9398
885,2269,4947,6405,9253,9574
989,3797,5489,7457,7740,7861
1057,2807,5736,6081,8812,8840
1096,3459,3598,8136,8226,8818
1439,1475,6188,7047,8381,8803
1451,5129,6338,6364,6817,7234
1581,3520,5038,5858,8172,9164
1692,1763,3915,6978,9218,9767
1797,3121,5563,5590,7579,9683
1825,2652,3147,7179,9183,9347
1860,3440,4659,6426,7139,9809
1915,3636,5659,5842,7856,8425
2039,4249,4528,6615,7839,8063
2103,2595,3334,7453,8577,9271
2520,4162,4689,6047,6210,9705
2588,4667,5280,6268,6987,7543
2830,3047,3083,6158,8427,9788
3125,3239,4061,6801,7645,8462
3132,3929,4011,5439,7501,9321
3146,3815,4479,5914,7520,8459
3457,3936,4410,6112,6980,8438
3,2225,4324,5018,5445,7447,8871
7,1942,3722,4931,6200,6674,9857
16,258,1787,5622,7785,8305,9560
22,1941,3888,5629,6536,7060,8257
36,1190,3122,3943,7545,8713,8784
47,1146,2609,5331,6976,7804,9420
48,1619,3820,5318,6478,7624,8426
50,2239,2679,4990,6049,8365,8961
62,2825,4672,5148,5748,5906,8972
76,1726,2100,5217,7210,7306,9698
77,776,2601,4115,7891,8660,9213
111,3075,3226,4039,6617,7734,8531
119,2963,3955,4285,6613,7577,7821
120,821,1810,6246,6937,8296,9103
141,2939,4009,4793,5362,6918,9171
187,1223,1731,6977,7158,7514,8543
191,2265,4208,4433,6394,7675,8167
201,3778,5158,5576,5663,5673,7284
229,587,2655,3804,7944,8473,9641
230,2249,2362,4570,6011,8777,9134
239,959,1120,4994,7691,8440,9890
245,584,2591,3183,7096,9679,9955
253,843,900,7486,7737,7949,8165
256,2842,3607,4652,6651,7488,7837
276,1113,4035,4133,7074,7093,9609
284,1918,2981,3349,7261,8518,9022
287,1908,2284,3143,8323,8657,8731
293,2486,2781,3720,7640,7724,8689
298,3088,3932,4640,5458,6932,8985
318,2065,2446,3096,7200,8756,9452
324,1719,3343,4803,5942,8373,8829
331,2461,4951,5495,5521,7041,7533
338,1068,4224,4348,5764,7957,9634
348,1940,3204,3669,7215,7304,9653
351,3692,4036,4497,5496,5661,9600
361,608,2335,4896,6661,8760,9712
370,1256,3652,3787,6790,8515,8963
376,3670,4070,4364,4848,6559,9446
386,986,3906,4145,4508,9475,9927
399,1286,2878,4569,5813,9128,9260
402,1567,2266,2965,8242,8848,9043
406,1634,2451,4584,6695,7634,9929
423,803,3508,5812,7029,7159,8599
438,902,2899,5922,6785,7759,8628
441,2187,2873,3679,6935,7729,9489
443,556,2237,5926,7320,7498,9353
445,2467,3398,3812,5092,9017,9102
460,2368,3178,5767,5871,6191,9498
484,1454,3213,4260,7374,7468,9080
495,1651,2750,4634,6302,8578,8923
503,1491,1539,5675,6883,7334,9908
509,751,3791,4139,7321,7372,9450
559,1571,3029,6053,6136,7960,8025
562,1870,1980,2584,8190,8540,9607
575,1709,2568,2786,6096,9661,9938
581,762,4731,5498,5897,7394,8470
590,774,4117,5240,5542,7735,9335
592,846,1873,4378,7515,8229,9900
602,1514,2748,4163,6609,7772,9925
623,2037,2152,5750,7365,7383,8023
646,1419,2530,5043,6682,7154,9859
657,1911,2923,4209,4815,9099,9719
664,823,2452,2940,7992,9061,9401
668,1610,3275,6308,6414,7517,7541
691,1678,4644,5223,6033,6425,8639
706,955,4919,4948,5784,6207,9814
707,904,2360,4486,6180,9116,9580
721,961,3333,4690,5118,9165,9345
806,1710,3215,4142,6416,8508,8536
842,3835,4383,5081,5801,6327,7064
