8,6514,9979,9998
3720,5736,7210,8505,8829
30,3947,6392,7200,7457,8974
62,4560,5095,7309,8438,8536
298,5812,6270,7044,7202,7374
850,4479,5125,6167,8473,8906
885,3274,5842,6096,8242,9661
1027,2152,4011,8062,9043,9705
1327,3080,5129,6416,8148,9900
1386,2372,3766,8025,8518,9933
1454,3820,3893,5590,9353,9890
1651,3652,5621,5801,7622,9653
1709,3940,4672,6380,7490,9809
1741,3797,5217,6210,7453,9582
1787,4486,5148,5888,8296,8395
2234,4383,6615,6680,6883,7205
2266,3936,4224,7306,7533,8735
3081,4243,4938,6980,7290,7468
3955,4423,4919,5750,7004,7949
3,602,5523,6412,6701,7365,7394
7,1764,2765,5673,7770,7856,8165
16,1223,1581,4492,8515,8840,9333
22,751,1729,6338,6965,8848,9347
36,587,1875,4659,7579,9630,9634
47,1690,3888,4165,5130,9253,9827
48,2781,3352,4378,6977,7994,8470
50,2096,2100,5503,7304,7729,9218
61,3213,3333,4508,6037,7577,9271
76,902,3929,4181,5730,9498,9684
77,2873,4586,4652,5914,6935,8963
111,1031,3636,4145,7488,8777,8812
119,1057,2253,5518,5813,9337,9903
120,1966,3215,4951,6426,7555,9767
141,2940,4209,5081,5496,7907,8226
152,1330,4410,4640,6047,8250,9171
187,581,965,4690,8598,9260,9719
191,3669,4497,4584,5492,5884,9683
201,1038,2910,4990,7514,8587,8760
229,2103,3309,4249,6081,8967,9062
230,3356,3607,4009,7028,7447,8323
239,1911,2208,5229,7624,8033,8756
245,906,1096,5906,7074,9213,9560
253,1170,1634,3713,7348,9927,9955
256,1190,1797,4117,8543,9017,9080
258,2588,3598,3915,6470,8139,9032
264,2454,3239,4241,7096,7541,9165
269,484,1113,6939,7159,8324,9712
276,955,2419,3179,8036,9555,9580
284,2786,3462,3932,5557,8122,9857
287,1426,1726,4947,6937,8818,9859
293,762,1146,6053,7172,9099,9475
318,2451,2965,6011,6158,7724,8373
324,4691,4793,4803,6302,6478,6609
331,1643,3815,4528,7466,7804,8413
338,2627,2647,4644,6918,6932,9894
348,691,986,5563,7546,9420,9446
351,1397,5038,5362,5514,6785,9553
361,929,4162,5622,6308,7014,9604
370,1678,4061,4740,5280,8871,9000
376,657,1895,6100,7737,7837,9398
386,917,4388,4896,6033,8577,8803
399,3787,3899,4285,4385,7645,9600
402,1913,1915,5512,6287,8167,9804
406,823,3457,4254,8290,8381,8389
423,2461,3121,4999,5871,8190,8935
438,1710,3435,5460,6445,7972,8540
441,1870,5318,5498,6234,6682,7957
443,721,2362,5223,6261,9183,9807
445,970,1137,7003,7154,7503,9788
455,1610,3182,4362,5489,9450,9452
460,1822,4660,4751,4994,8328,8985
495,1926,4348,6180,6188,7320,7543
503,646,3858,4222,7515,8068,9188
509,2249,3275,5161,5711,7486,9609
556,2835,2970,3047,7179,7734,9679
559,1811,3349,5659,6769,7391,8462
562,1660,3934,4142,5431,8748,9523
575,1637,1860,6425,7046,7517,8940
584,1770,3308,4931,6742,7091,9574
590,1286,3520,4133,4848,9698,9925
592,3122,4433,5300,5784,6858,7911
599,2524,2836,2934,5889,9345,9873
608,1698,1941,5495,5814,8972,9472
623,1782,2591,4115,6447,8704,9738
664,803,2807,3178,7948,8689,9911
668,2145,3075,3906,5185,9207,9814
699,2187,4364,5458,6207,7501,7584
706,1513,3143,5610,7054,7769,8205
707,2595,3495,6613,6661,6790,7139
774,1661,2449,2842,8136,8817,9321
776,1269,1908,6268,6536,8492,8751
801,2520,4036,4689,5331,7662,8961
806,1607,2609,6136,6414,7093,9335
809,2649,3945,4469,6940,7497,7691
821,1514,3096,3778,5786,9127,9878
842,2189,2237,4268,7418,7740,9306
843,1672,2906,3585,7158,8229,9607
846,1873,2341,3414,6214,9383,9929
881,3088,5013,5337,5926,6695,7060
900,1752,3489,5661,6246,7960,7992
904,1475,3083,4260,6978,8172,9128
959,1419,3029,3974,6643,8575,9401
961,3147,3679,4815,6359,6674,8365
989,3185,4245,4272,6049,6801,8459
1068,1299,2779,5576,5767,7915,9596
1115,1937,2652,6200,6559,7029,8508
1120,1287,4039,5629,6364,7498,8063
1160,1647,3146,5043,7064,7068,8872
1167,2065,2963,5092,5764,7041,9908
1203,2368,4118,4136,4731,8660,8784
1256,2037,3440,5922,5942,6976,8427
1325,2360,2470,2720,8200,8347,8578
1398,1719,3508,5219,5240,7986,8930
1428,3336,3398,4569,5748,7710,7811
1439,1825,2748,3441,6694,8305,9548
1451,1571,3643,5445,6346,7759,7785
1476,2452,2981,4550,7234,7284,8023
1491,2398,2905,3334,5858,8731,9283
1528,2513,3590,3962,6112,7372,8923
1531,1619,2465,5086,6394,6967,9938
1539,2008,3588,4408,5521,7772,9164
1567,2446,2899,3835,7321,7675,8257
1586,2568,2660,3183,7334,8243,8426
1659,2335,3132,3204,6405,8131,9134
1692,2388,2923,3134,6402,7820,9641
1727,2039,2601,4557,6191,7396,9489
1731,2486,2685,5018,5675,7383,9022
1735,1980,3410,4886,6070,6817,9102
1763,3018,3619,4208,5897,7634,7861
1766,2225,3226,4634,6327,7878,7944
1810,3293,3802,4570,4948,6938,8639
1830,1942,2750,5663,6155,7821,7839
1918,2569,2813,3459,6987,7814,8440
1929,2939,3208,4070,5630,7625,8599
1940,2284,2530,5118,5547,7520,9061
1994,2584,4264,5493,5941,6651,7073
2239,2655,5000,5158,5823,5910,7215
2265,3125,3343,3560,5635,7359,8713
2269,2467,3310,4139,5439,7719,8657
2282,3722,3804,3812,5338,6617,8425
2299,3210,3592,3943,4783,7545,8628
2401,2644,3791,4163,5626,7640,7735
2679,2830,3350,4324,5665,7261,7891
2825,2956,3264,3692,4035,8125,9103
2878,2972,2983,3670,5334,7047,9116
3292,3295,4225,4448,4667,5542,8531
